slug,name,price,city_id
100-pipers-dlx-blended-scotch-180ml,100 Pipers Dlx Blended Scotch,320,31
short-story-grain-vodka-750ml,Short Story Grain Vodka,900,31
royal-ranthambore-375ml,Royal Ranthambore,115,31
dewars-aged-8-years-700ml,Dewars Aged 8 Years,2500,31
ballantine-finest-blended-scotch-whisky-375ml,Ballantine Finest Blended Scotch Whisky,115,31
belenkaya-gold-700ml,Belenkaya Gold,1450,31
absolut-vodka-elyx-750ml,Absolut Vodka Elyx,3510,31
teachers-highland-cream-1000ml,Teachers Highland Cream,110,31
budweiser-magnum-330ml,Budweiser Magnum,80,31
johnnie-walker-18-yrs-750ml,Johnnie Walker 18 Yrs,10000,31
estrella-damm-barcelona-lager-beer-pint-330ml,Estrella Damm Barcelona Lager Beer Pint,250,31
bowmore-islay-single-malt-15-yrs-700ml,Bowmore Islay Single Malt 15 Yrs,9750,31
the-bush-rum-guava-700ml,The Bush Rum Guava,4850,31
glenmorangie-12yrs-lasanta-750ml,Glenmorangie 12Yrs Lasanta,8464,31
the-solan-gold-750ml,The Solan Gold,3200,31
russian-standard-750ml,Russian Standard,2250,31
grover-one-tree-hill-red-750ml,Grover One Tree Hill Red,645,31
grover-art-collection-merlot-750ml,Grover Art Collection Merlot,825,31
grey-goose-1000ml,Grey Goose,12000,31
tito-handmade-vodka-750ml,Tito Handmade Vodka,3390,31
signature-rare-green-180ml,Signature Rare Green,80,31
the-london-no-1-1000ml,The London No 1,880,31
clarendelle-aoc-bordeaux-rouge-750ml,Clarendelle Aoc Bordeaux Rouge,5326,31
indri-trini-750ml,Indri Trini,3300,31
laphroaig-10-yrs-750ml,Laphroaig 10 Yrs,7760,31
tamras-gin-700ml,Tamras Gin,1950,31
absolut-raspberri-200ml,Absolut Raspberri,645,31
ardbeg-10yrs-700ml,Ardbeg 10Yrs,9238,31
sula-dindori-chardonnay-750ml,Sula Dindori Chardonnay,820,31
black-dog-gold-reserve-750ml,Black Dog Gold Reserve,1900,31
martini-rose-sparkling-750ml,Martini Rose Sparkling,2200,31
1800-reposado-750ml,1800 Reposado,6750,31
stolichnaya-gold-750ml,Stolichnaya Gold,3150,31
finlandia-vodka-750ml,Finlandia Vodka,2000,31
breezer-cranberry-275ml,Breezer Cranberry,100,31
magic-moment-green-apple-180ml,Magic Moment Green Apple,100,31
cloudy-bay-pinot-noir-750ml,Cloudy Bay Pinot Noir,6572,31
sula-madera-red-wine-750ml,Sula Madera Red Wine,495,31
ashanti-spiced-rum-700ml,Ashanti Spiced Rum,3275,31
molinari-sambuca-750ml,Molinari Sambuca,3049,31
barton-guestier-merlot-reserve-750ml,Barton & Guestier Merlot Reserve,1850,31
two-oceans-shiraz-750ml,Two Oceans Shiraz,1800,31
dalmore-12-yrs-single-malt-700ml,Dalmore 12 Yrs Single Malt,12500,31
rampur-750ml,Rampur,7200,31
don-julio-blanco-750ml,Don Julio Blanco,7200,31
moskovskaya-pink-vodka-700ml,Moskovskaya Pink Vodka,1975,31
maya-pistola-reposado-tequila-750ml,Maya Pistola Reposado,2985,31
fandango-mezcal-750ml,Fandango Mezcal,7000,31
royal-challenge-whisky-375ml,Royal Challenge Whisky,185,31
teremana-reposado-750ml,Teremana Reposado,16000,31
grover-la-reserve-brut-750ml,Grover La Reserve Brut,2200,31
smirnoff-green-apple-180ml,Smirnoff Green Apple,170,31
fratelli-shiraz-750ml,Fratelli Shiraz,795,31
royal-salute-21-yrs-700ml,Royal Salute 21 Yrs,16000,31
woodburns-contemporary-indian-whisky-750ml,Woodburns Blended Indian Malt Whisky,1600,31
greater-than-broken-bat-gin-750ml,Greater Than Broken Bat Gin,1450,31
beefeater-pink-700ml,Beefeater Pink,2400,31
grover-art-collection-viognier-white-750ml,Grover Art Collection Viognier White,775,31
jack-daniels-singal-barrel-750ml,Jack Daniels Singal Barrel,7970,31
malhar-classic-dry-indian-craft-gin-750ml,Malhar Classic Dry Indian Craft Gin,3075,31
meukow-cognac-vsop-700ml,Meukow Cognac VSOP,9800,31
fratelli-kyra-red-750ml,Fratelli Kyra Red,2100,31
kavalan-classic-700ml,Kavalan Classic,8990,31
fratelli-cabernet-sauvignon-750ml,Fratelli Cabernet Sauvignon,985,31
bowmore-islay-single-malt-12-yrs-750ml,Bowmore Islay Single Malt 12 Yrs,6615,31
fratelli-chardonnay-750ml,Fratelli Chardonnay,935,31
chateau-goumin-bordeaux-750ml,Chateau Goumin Bordeaux,3725,31
black-dog-black-centenary-750ml,Black Dog Black Centenary,1400,31
glenmorangie-the-original-750ml,Glenmorangie The Original,4926,31
heineken-beer-330ml,Heineken Beer,75,31
moonshine-grilled-pineapple-mead-330ml,Moonshine Grilled Pineapple Mead,160,31
aberfeldy-12-year-750ml,Aberfeldy 12 Year,4850,31
jameson-black-barrel-750ml,Jameson Black Barrel,3600,31
breezer-jamaican-passion-275ml,Breezer Jamaican Passion,100,31
gentleman-jack-750ml,Gentleman Jack,4300,31
mc-dowells-no-1-180ml,Mc Dowells No 1,85,31
smirnoff-vodka-750ml,Smirnoff Vodka,700,31
the-glenlivet-15-yrs-700ml,The Glenlivet 15 Yrs,7800,31
amarula-cream-750ml,Amarula Cream,3800,31
wild-turkey-750ml,Wild Turkey,2814,31
hoegaarden-witbier-330ml,Hoegaarden Witbier,120,31
kah-blanco-700ml,Kah Blanco,11450,31
grants-triple-wood-750ml,Grants Triple Wood,1610,31
sula-seco-sparkling-750ml,Sula Seco Sparkling,725,31
hennessy-xo-700ml,Hennessy XO,29056,31
riunite-lambrusco-emilia-igt-amabile-750ml,Riunite Lambrusco Emilia Igt Amabile,1950,31
tanqueray-750ml,Tanqueray,2500,31
glenfiddich-26-years-700ml,Glenfiddich 26 Years,77500,31
woodbridge-sauvignon-blanc-750ml,Woodbridge Sauvignon Blanc,2199,31
grover-raya-red-750ml,Grover Raya Red,415,31
greater-than-london-gin-750ml,Greater Than London Gin,900,31
rockford-reserve-180ml,Rockford Reserve,162,31
1800-silver-750ml,1800 Silver,6500,31
fratelli-sette-2019-750ml,Fratelli Sette 2019,2100,31
bacardi-gold-rum-750ml,Bacardi Gold Rum,715,31
barrhead-one-speyside-single-malt-700ml,Barrhead One Speyside Single Malt,4850,31
famille-perrin-cotes-du-rhone-reserve-750ml,Famille Perrin Cotes Du Rhone Reserve,5332,31
clase-azul-reposado-700ml,Clase Azul Reposado,41422,31
brewdog-lost-lager-can-440ml,Brewdog Lost Lager Can,240,31
perrin-reserve-cotes-du-rhone-rouge-750ml,Perrin Reserve Cotes Du Rhone Rouge,5332,31
bottega-pinot-grigio-delle-venezie-750ml,Bottega Pinot Grigio Delle Venezie,3200,31
ciroc-750ml,Ciroc,3350,31
outback-jack-chardonnay-750ml,Outback Jack Chardonnay,1390,31
breezer-watermelon-flavour-275ml,Breezer Watermelon Flavour,100,31
teeling-whiskey-single-malt-700ml,Teeling Whiskey Single Malt,6995,31
jose-cuervo-esp-silver-750ml,Jose Cuervo Esp. Silver,2950,31
khor-silver-cool-750ml,Khor Silver Cool,1650,31
the-generation-whisky-750ml,The Generation Whisky,500,31
lovers-rum-700ml,Lovers Rum,8600,31
royal-stag-750ml,Royal Stag,370,31
teachers-50-180ml,Teachers 50,165,31
cono-sur-pinot-noir-750ml,Cono Sur Pinot Noir,1750,31
hakutsuru-sake-750ml,Hakutsuru Sake,4000,31
bull-dog-750ml,Bull Dog,2200,31
beluga-celebration-1000ml,Beluga Celebration,7850,31
tanqueray-ten-1000ml,Tanqueray Ten,5000,31
frontera-shiraz-750ml,Frontera Shiraz,1590,31
